category,description,date,title
POLITIQUE,"Le député européen, beau-frère de la candidate du Rassemblement national, a beaucoup œuvré depuis 2012 à adoucir l’image du parti d’extrême droite. Une ligne en rupture avec son propre héritage idéologique radical.",2022-04-30 05:16:34 +0200,"Philippe Olivier, principal artisan de la stratégie de dédiabolisation de Marine Le Pen"
POLITIQUE,"Le dirigeant de La France insoumise déplore, dans un entretien avec le « Journal du dimanche », que ses partenaires politiques, avec qui il négocie une étiquette commune aux législatives, se « laissent absorber par leurs enjeux internes ».",2022-04-30 11:32:57 +0200,"Pour Jean-Luc Mélenchon, les partis de gauche doivent sortir de la « culture de la défaite »"
POLITIQUE,La députée a déclaré avoir procédé à des remboursements de frais jugés non liés à l’exercice du mandat de député – et ce après un contrôle de la déontologue de l’Assemblée nationale.,2022-04-30 11:34:39 +0200,"Coralie Dubost, députée LREM, épinglée pour des frais de mandat"
POLITIQUE,"Pendant le premier quinquennat d’Emmanuel Macron, 69 personnes se sont vu confier un portefeuille de ministre, ministre délégué ou secrétaire d’Etat.",2022-04-30 13:00:08 +0200,"Emmanuel Macron réélu : mixité politique, parité, équipe plus ou moins resserrée... comment ont évolué les gouvernements du premier quinquennat ?"
POLITIQUE,"Une intersyndicale – réunissant la CGT, la FSU, Solidaires et l’UNSA – et FO appellent à défiler pour la défense du pouvoir d’achat et contre la retraite à 65 ans.",2022-04-30 14:46:08 +0200,"Un 1er-Mai très politique, à quelques semaines des élections législatives"
POLITIQUE,« Le Monde » publie le détail des résultats des scrutins des 10 et 24 avril dans les 69 682 bureaux de vote de France.,2022-04-30 15:17:39 +0200,Election présidentielle 2022 : explorez les résultats dans tous les bureaux de vote de France
POLITIQUE,"Face à la polémique provoquée par le projet de réaménagement du quartier de la tour Eiffel, la mairie de Paris a promis de sauver les arbres centenaires et d’en planter 227 nouveaux.",2022-04-30 20:53:23 +0200,"L’abattage prévu d’une vingtaine d’arbres, dont des centenaires, au pied de la tour Eiffel suscite la polémique"
POLITIQUE,"Au second tour de l’élection présidentielle, Emmanuel Macron a collecté les deux tiers des voix bretonnes notamment grâce à la vivacité du front républicain. Un plébiscite qui occulte néanmoins d’incertaines législatives.",2022-05-01 07:00:16 +0200,"La Bretagne, une terre macroniste, mais surtout anti-RN"
POLITIQUE,"Le premier secrétaire du PS et député de Seine-et-Marne était l’invité de France Inter, de France Télévisions et du « Monde » ce dimanche, de midi à 13 heures.",2022-05-01 12:00:10 +0200,Retrouvez « Questions politiques » avec Olivier Faure
POLITIQUE,"Les négociations entre le PS et La France insoumise au sujet d’un éventuel accord en vue des législatives ont été suspendues vendredi. Le premier secrétaire du Parti socialiste s’est à nouveau dit ouvert à la discussion, dimanche, tout en temporisant.",2022-05-01 15:50:34 +0200,"Législatives 2022 : le PS « continue à discuter de tout » avec LFI ; « on s’approche du but » pour un accord à gauche, assure Jean-Luc Mélenchon"
