category,description,date,title
CINEMA,"Réalisé à partir d’images d’archives, le film de Jean-Gabriel Périot, adapté du livre de Didier Eribon, donne corps à une « multitude » oubliée de l’histoire.",2022-03-30 12:30:07 +0200,« Retour à Reims (Fragments) » : Une ode cinématographique à la classe ouvrière
CINEMA,"La réalisatrice Yukiko Sode évoque, dans son troisième long-métrage, la question de la reproduction sociale au Japon et son poids sur les existences.",2022-03-30 13:00:11 +0200,« Aristocrats » : le vague à l’âme de l’hyperclasse tokyoïte
CINEMA,"Léa Drucker incarne une présidente de la République contrainte de briguer un second mandat dans le film de Diastème, chargé en dramaturgie.",2022-03-30 13:00:31 +0200,« Le Monde d’hier » : une candidature à l’Elysée sous la menace de l’extrême droite
CINEMA,Kiro Russo offre une plongée fascinante dans la cité bolivienne en suivant le parcours d’un ouvrier malade des poumons.,2022-03-30 13:30:10 +0200,"« Le Grand Mouvement » : sur les hauteurs de La Paz, un mineur emporté par la foule"
CINEMA,"Le cinéaste témoigne de sa passion pour le ballet dans son nouveau long-métrage conçu autour de Marion Barbeau, première danseuse à l’Opéra de Paris.",2022-03-30 14:45:17 +0200,« En corps » : Cédric Klapisch entre dans la danse
CINEMA,Le film de Daniel Espinosa se distingue par ses réminiscences d’œuvres classiques et par sa beauté plastique.,2022-03-30 15:15:13 +0200,« Morbius » : un super-héros dans les pas de Dracula
CINEMA,"Réalisé en 1952, le film de Renato Castellani obtint la Palme d’or au Festival de Cannes, ex aequo avec « Othello », d’Orson Welles.",2022-03-30 16:00:14 +0200,« Deux sous d’espoir » : un regard pittoresque sur la misère calabraise
CINEMA,"Le réalisateur hongrois est l’invité d’honneur du festival Toute la mémoire du monde, qui se tient jusqu’au 3 avril, à Paris.",2022-03-30 16:00:17 +0200,"Béla Tarr, figure de la mélancolie, honoré à La Cinémathèque"
CINEMA,"Lorsque l’acteur est monté sur la scène de la cérémonie des Oscars pour administrer un soufflet à l’humoriste Chris Rock, certains ont cru à un sketch préparé à l’avance. Alors que toute notre société se théâtralise, Will Smith a-t-il fini par se prendre à son propre jeu ?",2022-03-30 19:31:51 +0200,"La gifle de Will Smith, quand la réalité dépasse la fiction"
CINEMA,"L’acteur de films d’action souffre d’aphasie, selon sa famille.",2022-03-30 20:12:18 +0200,Bruce Willis met fin à sa carrière en raison de problèmes de santé
CINEMA,"L’Académie des arts et sciences du cinéma, qui remet les prestigieuses statuettes, a présenté ses excuses dans un communiqué pour sa mauvaise gestion de l’événement. Une procédure disciplinaire a été ouverte à l’encontre de l’acteur.",2022-03-31 01:59:39 +0200,"Oscars : l’Académie annonce avoir demandé de quitter la cérémonie à Will Smith, qui a refusé"
CINEMA,"Le cinéma est une arme et le combat actuel se livre, aussi, par écrans interposés. Les réalisateurs en ont bien conscience qui, depuis le début de l’invasion, ferraillent sur les réseaux sociaux pour réclamer le boycott des films russes.",2022-03-31 03:13:07 +0200,Les réalisateurs ukrainiens mènent la guerre sur les écrans
CINEMA,"Même scène, mêmes techniques, mêmes secrets : beaucoup d’éléments rapprochent ces deux univers.",2022-04-01 13:30:06 +0200,Cinéma et politique : deux genres plus proches qu’il n’y paraît
CINEMA,"L’actrice française, qui pratique aussi le dessin et la peinture, est exposée à partir du 2 avril à la chapelle du Méjan, à Arles, et fait l’objet d’une monographie, dont certains textes sont signés du commissaire d’exposition Louis Deledicq. Le même qu’Anouk Grinberg a photographié il y a quinze ans.",2022-04-01 18:00:07 +0200,"Anouk Grinberg, comédienne : « Louis Deledicq m’a dit des choses sur la pulsion de peindre qui sont devenues fondatrices »"
CINEMA,"Dans un entretien au « Monde », l’Espagnol raconte la fabrication de son film, entre cinéma direct et fiction, tourné pendant cinq ans avec des adolescents.",2022-04-23 15:30:10 +0200,"Jonas Trueba, réalisateur de « Qui à part nous » : « On tâtonnait ensemble pour aller vers le possible »"
CINEMA,"La comédie d’Ali Boughéraba et Hakim Boughéraba, adaptée de la websérie à succès, aligne les clichés et met mal à l’aise.",2022-04-25 15:36:07 +0200,« Les Segpa » : basiques instincts sur les enfants en échec scolaire
